,tsne-1,class
0,-7.749409,1.0
1,-9.9908285,1.0
2,-8.146185,1.0
3,-10.751478,1.0
4,-10.291228,1.0
5,-3.3101997,1.0
6,-11.674402,1.0
7,-3.7550366,1.0
8,-10.195535,1.0
9,-11.889071,1.0
10,-3.6581285,1.0
11,-7.771197,1.0
12,-4.7447343,0.0
13,2.1743917,0.0
14,10.592092,0.0
15,-7.491393,1.0
16,-9.183254,1.0
17,-11.929055,1.0
18,-9.515794,1.0
19,-11.496128,1.0
20,-6.3351088,1.0
21,-10.435607,1.0
22,-10.213873,1.0
23,-11.805604,1.0
24,-8.828398,1.0
25,-11.105168,1.0
26,7.1354275,0.0
27,3.412424,1.0
28,-6.6990695,1.0
29,4.1733346,1.0
30,-0.9292899,1.0
31,-11.195133,1.0
32,-5.735124,1.0
33,9.939591,0.0
34,-10.814143,1.0
35,2.4879951,0.0
36,-2.8325152,0.0
37,8.40981,0.0
38,4.8467617,0.0
39,7.636008,0.0
40,-6.623559,1.0
41,-3.5717592,1.0
42,8.335781,0.0
43,-8.636775,1.0
44,-11.829137,1.0
45,8.209036,0.0
46,10.194493,0.0
47,11.6028185,0.0
48,11.617466,0.0
49,12.580713,0.0
50,-11.137691,1.0
51,-11.370051,1.0
52,10.821841,0.0
53,7.59572,0.0
54,0.935905,0.0
55,7.2071357,0.0
56,-7.2223783,1.0
57,12.588652,0.0
58,-5.4496646,1.0
59,4.800206,0.0
60,-6.7438636,1.0
61,-1.727619,0.0
62,2.5537734,0.0
63,-0.031112092,0.0
64,-10.337413,0.0
65,2.2982445,0.0
66,-9.810068,1.0
67,-10.105011,1.0
68,-8.130678,1.0
69,-0.80066353,0.0
70,-13.014642,0.0
71,-2.6255693,0.0
72,-4.175642,1.0
73,4.21736,0.0
74,3.0493329,0.0
75,-12.680648,1.0
76,-9.778344,1.0
77,9.153429,0.0
78,10.80782,0.0
79,6.1928883,0.0
80,-11.090169,1.0
81,-3.3754268,1.0
82,10.726611,0.0
83,5.664931,0.0
84,0.88635385,0.0
85,11.931228,0.0
86,-4.724379,1.0
87,-0.7421997,0.0
88,5.6514187,0.0
89,1.9835271,0.0
90,11.59914,0.0
91,-1.165728,0.0
92,-3.796152,0.0
93,0.16590807,0.0
94,10.4974785,0.0
95,-0.32022417,0.0
96,12.330476,0.0
97,-12.594308,1.0
98,-6.245927,1.0
99,6.2242627,0.0
100,-9.798306,1.0
101,-5.06744,0.0
102,-2.0434175,0.0
103,4.539056,0.0
104,-5.562266,1.0
105,-6.701224,1.0
106,-13.12322,0.0
107,-8.924131,1.0
108,1.7046049,0.0
109,-12.349421,1.0
110,-12.383971,1.0
111,-4.646409,0.0
112,-7.8617816,1.0
113,2.9666932,1.0
114,-0.25461775,0.0
115,6.4346733,0.0
116,-11.960604,1.0
117,0.33012578,0.0
118,10.088683,0.0
119,-6.5902095,1.0
120,10.329022,0.0
121,2.6965177,0.0
122,7.4039774,0.0
123,0.083723895,0.0
124,-9.449641,1.0
125,-4.1849384,0.0
126,-2.0743585,0.0
127,4.349595,0.0
128,2.1833766,0.0
129,1.1744057,0.0
130,8.626052,0.0
131,-5.027164,0.0
132,2.6386404,0.0
133,-3.291204,0.0
134,6.3094616,0.0
135,7.39087,0.0
136,-0.6324786,0.0
137,-1.0034906,0.0
138,-7.8123636,1.0
139,4.511675,0.0
140,9.181426,0.0
141,-6.542764,1.0
142,-8.999299,1.0
143,3.8508525,0.0
144,6.7846394,0.0
145,-3.3776696,1.0
146,-12.937213,1.0
147,10.358692,0.0
148,8.603223,0.0
149,10.0295,0.0
150,-0.5761126,0.0
151,-11.844065,1.0
152,5.4647903,0.0
153,6.951071,0.0
154,-4.811804,1.0
