,method-balance,n_features,optimal-depth,pre@recall50
3,pca_cos-RFECV,2,6,0.898876404494382
21,tsne-2,2,6,0.8969072164948454
20,tsne-1,1,3,0.8803418803418803
7,pca_cos-RFECV,4,3,0.8777777777777778
19,pca_cos-RFECV,10,3,0.8735632183908046
9,pca_cos-RFECV,5,4,0.8709677419354839
5,pca_cos-RFECV,3,7,0.8666666666666667
1,pca_cos-RFECV,1,3,0.8651685393258427
13,pca_cos-RFECV,7,3,0.8651685393258427
17,pca_cos-RFECV,9,3,0.8651685393258427
12,pca_cos-ANOVA,7,3,0.8631578947368421
11,pca_cos-RFECV,6,3,0.8620689655172413
15,pca_cos-RFECV,8,6,0.8586956521739131
10,pca_cos-ANOVA,6,3,0.845360824742268
4,pca_cos-ANOVA,3,3,0.845360824742268
8,pca_cos-ANOVA,5,3,0.8421052631578947
18,pca_cos-ANOVA,10,3,0.8350515463917526
2,pca_cos-ANOVA,2,3,0.8350515463917526
0,pca_cos-ANOVA,1,5,0.831858407079646
14,pca_cos-ANOVA,8,8,0.825
6,pca_cos-ANOVA,4,6,0.8214285714285714
16,pca_cos-ANOVA,9,9,0.8208955223880597
22,tsne-3,3,3,0.7545454545454545
